owning_agency_name,reporting_agency_name,submission_period,allocation_transfer_agency_identifier_code,agency_identifier_code,beginning_period_of_availability,ending_period_of_availability,availability_type_code,main_account_code,sub_account_code,treasury_account_symbol,treasury_account_name,agency_identifier_name,allocation_transfer_agency_identifier_name,budget_function,budget_subfunction,federal_account_symbol,federal_account_name,program_activity_code,program_activity_name,object_class_code,object_class_name,direct_or_reimbursable_funding_source,disaster_emergency_fund_code,disaster_emergency_fund_name,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,gross_outlay_amount,last_modified_date
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0600,000,075-X-0600-000,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",Department of Health and Human Services,,Health,Consumer and occupational health and safety,075-0600,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",0019,CORONAVIRUS EMERGENCY FUNDING SUPPLEMENTAL,21.0,Travel and transportation of persons,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,10695.07,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0600,000,075-X-0600-000,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",Department of Health and Human Services,,Health,Consumer and occupational health and safety,075-0600,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",0019,CORONAVIRUS EMERGENCY FUNDING SUPPLEMENTAL,23.1,Rental payments to GSA,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",275.00,0.00,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0600,000,075-X-0600-000,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",Department of Health and Human Services,,Health,Consumer and occupational health and safety,075-0600,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",0019,CORONAVIRUS EMERGENCY FUNDING SUPPLEMENTAL,91.0,Unvouchered,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",6000.00,-1100.00,1001.30,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0600,000,075-X-0600-000,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",Department of Health and Human Services,,Health,Consumer and occupational health and safety,075-0600,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",0019,CORONAVIRUS EMERGENCY FUNDING SUPPLEMENTAL,25.2,Other services from non-Federal sources,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",2833.00,0.00,770625.45,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0600,000,075-X-0600-000,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",Department of Health and Human Services,,Health,Consumer and occupational health and safety,075-0600,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",0019,CORONAVIRUS EMERGENCY FUNDING SUPPLEMENTAL,12.1,Civilian personnel benefits,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",-554.18,0.00,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0600,000,075-X-0600-000,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",Department of Health and Human Services,,Health,Consumer and occupational health and safety,075-0600,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",0019,CORONAVIRUS EMERGENCY FUNDING SUPPLEMENTAL,25.3,Other goods and services from Federal sources,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",0.00,0.00,193771.75,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0600,000,075-X-0600-000,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",Department of Health and Human Services,,Health,Consumer and occupational health and safety,075-0600,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",0019,CORONAVIRUS EMERGENCY FUNDING SUPPLEMENTAL,25.3,Other goods and services from Federal sources,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0600,000,075-X-0600-000,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",Department of Health and Human Services,,Health,Consumer and occupational health and safety,075-0600,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",0019,CORONAVIRUS EMERGENCY FUNDING SUPPLEMENTAL,25.4,Operation and maintenance of facilities,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",20548.18,0.00,86053.17,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0600,000,075-X-0600-000,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",Department of Health and Human Services,,Health,Consumer and occupational health and safety,075-0600,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",0019,CORONAVIRUS EMERGENCY FUNDING SUPPLEMENTAL,25.7,Operation and maintenance of equipment,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,889029.28,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0600,000,075-X-0600-000,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",Department of Health and Human Services,,Health,Consumer and occupational health and safety,075-0600,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",0019,CORONAVIRUS EMERGENCY FUNDING SUPPLEMENTAL,26.0,Supplies and materials,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",24801.47,0.00,18115.68,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0600,000,075-X-0600-000,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",Department of Health and Human Services,,Health,Consumer and occupational health and safety,075-0600,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",0019,CORONAVIRUS EMERGENCY FUNDING SUPPLEMENTAL,31.0,Equipment,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",223772.90,0.00,997089.54,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0600,000,075-X-0600-000,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",Department of Health and Human Services,,Health,Consumer and occupational health and safety,075-0600,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",0019,CORONAVIRUS EMERGENCY FUNDING SUPPLEMENTAL,25.6,Medical care,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",212.32,0.00,100.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0600,000,075-X-0600-000,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",Department of Health and Human Services,,Health,Consumer and occupational health and safety,075-0600,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",0019,CORONAVIRUS EMERGENCY FUNDING SUPPLEMENTAL,23.3,"Communications, utilities, and miscellaneous charges",D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,0.00,397641.19,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0600,000,075-X-0600-000,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",Department of Health and Human Services,,Health,Consumer and occupational health and safety,075-0600,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",0019,CORONAVIRUS EMERGENCY FUNDING SUPPLEMENTAL,41.0,"Grants, subsidies, and contributions",D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",35873.31,0.00,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0600,000,075-X-0600-000,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",Department of Health and Human Services,,Health,Consumer and occupational health and safety,075-0600,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",0019,CORONAVIRUS EMERGENCY FUNDING SUPPLEMENTAL,11.1,Full-time permanent,D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",-2425.28,0.00,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0600,000,075-X-0600-000,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",Department of Health and Human Services,,Health,Consumer and occupational health and safety,075-0600,"Salaries and Expenses, Food and Drug Administration, Health and Human Services",0019,CORONAVIRUS EMERGENCY FUNDING SUPPLEMENTAL,25.2,Other services from non-Federal sources,D,L,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020",443950.41,0.00,2272242.64,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0846,000,075-X-0846-000,"Office of the Director, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0846,"Office of the Director, National Institutes of Health, Health and Human Services",0025,NIH OFFICE OF THE DIRECTOR (0846),25.2,Other services from non-Federal sources,D,P,Paycheck Protection Program and Health Care Enhancement Act,11145158.00,0.00,27244300.55,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0846,000,075-X-0846-000,"Office of the Director, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0846,"Office of the Director, National Institutes of Health, Health and Human Services",0025,NIH OFFICE OF THE DIRECTOR (0846),25.6,Medical care,D,P,Paycheck Protection Program and Health Care Enhancement Act,0.00,0.00,9460.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0846,000,075-X-0846-000,"Office of the Director, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0846,"Office of the Director, National Institutes of Health, Health and Human Services",0025,NIH OFFICE OF THE DIRECTOR (0846),22.0,Transportation of things,D,P,Paycheck Protection Program and Health Care Enhancement Act,0.00,0.00,362.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0846,000,075-X-0846-000,"Office of the Director, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0846,"Office of the Director, National Institutes of Health, Health and Human Services",0025,NIH OFFICE OF THE DIRECTOR (0846),41.0,"Grants, subsidies, and contributions",D,P,Paycheck Protection Program and Health Care Enhancement Act,78465983.00,0.00,2930758.40,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0846,000,075-X-0846-000,"Office of the Director, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0846,"Office of the Director, National Institutes of Health, Health and Human Services",0025,NIH OFFICE OF THE DIRECTOR (0846),43.0,Interest and dividends,D,P,Paycheck Protection Program and Health Care Enhancement Act,471.47,0.00,471.47,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0846,000,075-X-0846-000,"Office of the Director, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0846,"Office of the Director, National Institutes of Health, Health and Human Services",0025,NIH OFFICE OF THE DIRECTOR (0846),25.5,Research and development contracts,D,P,Paycheck Protection Program and Health Care Enhancement Act,0.00,0.00,5366720.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0846,000,075-X-0846-000,"Office of the Director, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0846,"Office of the Director, National Institutes of Health, Health and Human Services",0025,NIH OFFICE OF THE DIRECTOR (0846),11.1,Full-time permanent,D,P,Paycheck Protection Program and Health Care Enhancement Act,178317.00,0.00,178317.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0846,000,075-X-0846-000,"Office of the Director, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0846,"Office of the Director, National Institutes of Health, Health and Human Services",0025,NIH OFFICE OF THE DIRECTOR (0846),26.0,Supplies and materials,D,P,Paycheck Protection Program and Health Care Enhancement Act,102804.06,0.00,18030.24,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0846,000,075-X-0846-000,"Office of the Director, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0846,"Office of the Director, National Institutes of Health, Health and Human Services",0025,NIH OFFICE OF THE DIRECTOR (0846),25.3,Other goods and services from Federal sources,D,P,Paycheck Protection Program and Health Care Enhancement Act,0.00,0.00,15910.72,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0846,000,075-X-0846-000,"Office of the Director, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0846,"Office of the Director, National Institutes of Health, Health and Human Services",0025,NIH OFFICE OF THE DIRECTOR (0846),11.8,Special personal services payments,D,P,Paycheck Protection Program and Health Care Enhancement Act,26768.88,0.00,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0849,000,075-X-0849-000,"National Cancer Institute, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0849,"National Cancer Institute, National Institutes of Health, Health and Human Services",0001,NATIONAL CANCER INSTITUTE (0849),41.0,"Grants, subsidies, and contributions",D,P,Paycheck Protection Program and Health Care Enhancement Act,0.00,0.00,1563782.15,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0849,000,075-X-0849-000,"National Cancer Institute, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0849,"National Cancer Institute, National Institutes of Health, Health and Human Services",0001,NATIONAL CANCER INSTITUTE (0849),43.0,Interest and dividends,D,P,Paycheck Protection Program and Health Care Enhancement Act,258.81,0.00,258.81,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0849,000,075-X-0849-000,"National Cancer Institute, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0849,"National Cancer Institute, National Institutes of Health, Health and Human Services",0001,NATIONAL CANCER INSTITUTE (0849),25.1,Advisory and assistance services,D,P,Paycheck Protection Program and Health Care Enhancement Act,10558792.80,0.00,2532674.16,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0849,000,075-X-0849-000,"National Cancer Institute, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0849,"National Cancer Institute, National Institutes of Health, Health and Human Services",0001,NATIONAL CANCER INSTITUTE (0849),25.3,Other goods and services from Federal sources,D,P,Paycheck Protection Program and Health Care Enhancement Act,985000.00,0.00,985000.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0849,000,075-X-0849-000,"National Cancer Institute, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0849,"National Cancer Institute, National Institutes of Health, Health and Human Services",0001,NATIONAL CANCER INSTITUTE (0849),25.2,Other services from non-Federal sources,D,P,Paycheck Protection Program and Health Care Enhancement Act,3492171.00,0.00,2120472.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0849,000,075-X-0849-000,"National Cancer Institute, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0849,"National Cancer Institute, National Institutes of Health, Health and Human Services",0001,NATIONAL CANCER INSTITUTE (0849),25.5,Research and development contracts,D,P,Paycheck Protection Program and Health Care Enhancement Act,2922342.00,0.00,214311.98,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0898,000,075-X-0898-000,"National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0898,"National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services",0019,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING (0898),25.2,Other services from non-Federal sources,D,P,Paycheck Protection Program and Health Care Enhancement Act,71299598.98,-75000.00,52589593.70,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0898,000,075-X-0898-000,"National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0898,"National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services",0019,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING (0898),41.0,"Grants, subsidies, and contributions",D,P,Paycheck Protection Program and Health Care Enhancement Act,0.00,0.00,35660669.81,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0898,000,075-X-0898-000,"National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0898,"National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services",0019,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING (0898),43.0,Interest and dividends,D,P,Paycheck Protection Program and Health Care Enhancement Act,390.01,0.00,390.01,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0898,000,075-X-0898-000,"National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services",Department of Health and Human Services,,Health,Health research and training,075-0898,"National Institute of Biomedical Imaging and Bioengineering, National Institutes of Health, Health and Human Services",0019,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING (0898),25.1,Advisory and assistance services,D,P,Paycheck Protection Program and Health Care Enhancement Act,0.00,0.00,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0943,000,075-X-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),25.3,Other goods and services from Federal sources,D,P,Paycheck Protection Program and Health Care Enhancement Act,4367121.68,0.00,3566371.68,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0943,000,075-X-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),22.0,Transportation of things,D,P,Paycheck Protection Program and Health Care Enhancement Act,17643.65,-2248.75,14679.17,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0943,000,075-X-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),31.0,Equipment,D,P,Paycheck Protection Program and Health Care Enhancement Act,282474.10,-89442.10,177219.58,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0943,000,075-X-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),41.0,"Grants, subsidies, and contributions",D,P,Paycheck Protection Program and Health Care Enhancement Act,92880000.00,0.00,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0943,000,075-X-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),25.7,Operation and maintenance of equipment,D,P,Paycheck Protection Program and Health Care Enhancement Act,327877.89,-8433.86,28547.80,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0943,000,075-X-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),26.0,Supplies and materials,D,P,Paycheck Protection Program and Health Care Enhancement Act,1254027.84,-147675.85,923050.25,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0943,000,075-X-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),25.1,Advisory and assistance services,D,P,Paycheck Protection Program and Health Care Enhancement Act,10076741.04,0.00,7151170.36,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0943,000,075-X-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),21.0,Travel and transportation of persons,D,P,Paycheck Protection Program and Health Care Enhancement Act,10329.37,-1065.28,3391.27,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,,,X,0943,000,075-X-0943-000,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0943,"CDC-Wide Activities and Program Support, Centers for Disease Control and Prevention, Health and Human Services",0002,CDC WIDE ACTIVITIES AND PROGRAM SUPPORT (0943),25.2,Other services from non-Federal sources,D,P,Paycheck Protection Program and Health Care Enhancement Act,377071.31,0.00,15192.80,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2020,,0360,000,075-2020/2020-0360-000,"Primary Health Care, Health Resources and Services Administration, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0360,"Primary Health Care, Health Resources and Services Administration, Health and Human Services",0005,"PRIMARY HEALTH CARE (HEALTH CENTERS, FREE CLINICS)",25.3,Other goods and services from Federal sources,D,O,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act | Paycheck Protection Program and Health Care Enhancement Act",0.00,0.00,465000.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2020,,0360,000,075-2020/2020-0360-000,"Primary Health Care, Health Resources and Services Administration, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0360,"Primary Health Care, Health Resources and Services Administration, Health and Human Services",0005,"PRIMARY HEALTH CARE (HEALTH CENTERS, FREE CLINICS)",25.2,Other services from non-Federal sources,D,O,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act | Paycheck Protection Program and Health Care Enhancement Act",0.00,0.00,306596.71,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2020,,0360,000,075-2020/2020-0360-000,"Primary Health Care, Health Resources and Services Administration, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0360,"Primary Health Care, Health Resources and Services Administration, Health and Human Services",0005,"PRIMARY HEALTH CARE (HEALTH CENTERS, FREE CLINICS)",41.0,"Grants, subsidies, and contributions",D,O,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act | Paycheck Protection Program and Health Care Enhancement Act",0.00,-97883.00,282242749.92,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0358,000,075-2020/2022-0358-000,"Rural Health, Health Resources and Services Administration, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0358,"Rural Health, Health Resources and Services Administration, Health and Human Services",0045,RURAL HEALTH,41.0,"Grants, subsidies, and contributions",D,N,"Coronavirus Aid, Relief, and Economic Security Act or the CARES Act",0.00,-421585.00,16580351.98,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0390,000,075-2020/2022-0390-000,"Indian Health Services, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0390,"Indian Health Services, Indian Health Service, Health and Human Services",0001,CLINICAL SERVICES,11.7,Military personnel,D,M,Families First Coronavirus Response Act,12815.04,0.00,20136.62,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0390,000,075-2020/2022-0390-000,"Indian Health Services, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0390,"Indian Health Services, Indian Health Service, Health and Human Services",0001,CLINICAL SERVICES,12.1,Civilian personnel benefits,D,M,Families First Coronavirus Response Act,20778.55,0.00,20588.62,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0390,000,075-2020/2022-0390-000,"Indian Health Services, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0390,"Indian Health Services, Indian Health Service, Health and Human Services",0001,CLINICAL SERVICES,23.3,"Communications, utilities, and miscellaneous charges",D,M,Families First Coronavirus Response Act,2720.40,0.00,3528.20,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0390,000,075-2020/2022-0390-000,"Indian Health Services, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0390,"Indian Health Services, Indian Health Service, Health and Human Services",0001,CLINICAL SERVICES,12.2,Military personnel benefits,D,M,Families First Coronavirus Response Act,-108.74,0.00,333.13,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0390,000,075-2020/2022-0390-000,"Indian Health Services, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0390,"Indian Health Services, Indian Health Service, Health and Human Services",0001,CLINICAL SERVICES,22.0,Transportation of things,D,M,Families First Coronavirus Response Act,612.04,0.00,915.82,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0390,000,075-2020/2022-0390-000,"Indian Health Services, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0390,"Indian Health Services, Indian Health Service, Health and Human Services",0001,CLINICAL SERVICES,41.0,"Grants, subsidies, and contributions",D,M,Families First Coronavirus Response Act,0.00,0.00,0.00,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0390,000,075-2020/2022-0390-000,"Indian Health Services, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0390,"Indian Health Services, Indian Health Service, Health and Human Services",0001,CLINICAL SERVICES,11.1,Full-time permanent,D,M,Families First Coronavirus Response Act,45840.17,0.00,45840.17,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0390,000,075-2020/2022-0390-000,"Indian Health Services, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0390,"Indian Health Services, Indian Health Service, Health and Human Services",0001,CLINICAL SERVICES,11.3,Other than full-time permanent,D,M,Families First Coronavirus Response Act,9373.62,0.00,7342.50,2021-01-28
Department of Health and Human Services,Department of Health and Human Services,FY2021P03,,075,2020,2022,,0390,000,075-2020/2022-0390-000,"Indian Health Services, Indian Health Service, Health and Human Services",Department of Health and Human Services,,Health,Health care services,075-0390,"Indian Health Services, Indian Health Service, Health and Human Services",0001,CLINICAL SERVICES,11.5,Other personnel compensation,D,M,Families First Coronavirus Response Act,9473.56,0.00,9473.56,2021-01-28
